ID,SERVICE,FROM,AUTHOR,DESCRIPTION,DATE ENCODED,DATE ACCOMPLISHED,STATUS,ATTENDED BY,DELSTAT
51,RSRVTION,dean ,jeo,netlab:10/18/16 (10-11am),10-17-2016 08:05PM,10-19-2016 01:32PM,done,rods,0
52,RSRVTION,dean,jeo,netlab:10/19/16(6-7pm),10-18-2016 04:31PM,10-19-2016 01:32PM,done,w,0
53,PRNTR,gs guidance,lemuel,install,10-21-2016 01:41PM,,waiting,,1
54,RSRVTION,1,1,com.lab 1&2. oct. 24 to 26.:1,10-21-2016 01:43PM,,waiting,,1
55,RSRVTION,college dept.,lemuel,com lab 1 and 2:oct. 24 to 26,10-21-2016 01:43PM,01-31-2017 08:23AM,done,vic,0
56,SYSTMUNIT,jhs/shs unit,lemuel,check and repair,10-21-2016 01:44PM,10-25-2016 08:46AM,done,r,0
57,RSRVTION,gs/jhs/shs/col,lemuel,com lab 2 for destiny training:nov. 7 to 11 8:00 to 5:00 pm,10-21-2016 01:46PM,01-31-2017 08:23AM,done,vic,0
58,PHNCALL,program head,lemuel,looking for sir haide,10-24-2016 10:03AM,10-25-2016 08:46AM,done,r,0
59,PHNCALL,sso,jeo,looking for sir rey,10-24-2016 02:20PM,10-25-2016 08:45AM,done,r,0
60,SYSTMUNIT,camino,jeo,lancard/ unit sound installation,10-24-2016 05:03PM,01-31-2017 08:23AM,done,vic,0
61,PHNCALL,atv office,vic,looking for sir rey,10-25-2016 09:52AM,,waiting,,1
62,PHNCALL,supply center,haide,sir albert looking for sir carlos,10-27-2016 08:57AM,,waiting,,1
63,PHNCALL,rpo,vic,looking 4 sir haid,10-28-2016 01:59PM,,waiting,,1
64,PHNCALL,finance,james war,ma'am rochelle called to look for sir heidi,10-28-2016 02:23PM,,waiting,,1
65,PRNTR,bookstore,lemuel,check up and repair,11-08-2016 08:14AM,,waiting,,1
